Timestamp,Color Changed
0,False
35,False
70,False
105,False
140,False
175,False
210,False
245,False
280,False
315,False
350,False
385,False
420,False
455,False
490,False
525,False
560,False
595,False
630,False
665,False
700,False
735,False
770,False
805,False
840,False
875,False
910,False
945,False
980,False
1015,False
1050,False
1085,False
1120,False
1155,False
1190,False
1225,False
1260,False
1295,False
1330,False
1365,False
1400,False
1435,False
1470,False
1505,False
1540,False
1575,False
1610,False
1645,False
1680,False
1715,False
1750,False
1785,False
1820,False
1855,False
1890,False
1925,False
1960,False
1995,False
2030,False
2065,False
2100,True
2135,False
2170,False
2205,False
2240,False
2275,False
2310,False
2345,False
2380,False
2415,True
2450,False
2485,False
2520,False
2555,False
2590,False
2625,False
2660,False
2695,False
2730,False
2765,False
2800,False
2835,False
2870,False
2905,False
2940,False
2975,False
3010,False
3045,False
3080,False
3115,False
3150,False
3185,False
3220,False
3255,False
3290,False
3325,False
3360,False
3395,False
3430,False
3465,False
3500,False
3535,False
3570,False
3605,False
3640,False
3675,False
3710,False
3745,False
3780,False
3815,False
3850,False
3885,False
3920,False
3955,False
3990,False
4025,False
4060,False
4095,False
4130,False
4165,False
4200,False
4235,False
4270,False
4305,False
4340,False
4375,False
4410,False
4445,False
4480,False
4515,False
4550,False
4585,False
4620,False
4655,False
4690,False
4725,False
4760,False
4795,False
4830,False
4865,False
4900,False
4935,False
4970,False
5005,False
5040,False
5075,False
5110,False
5145,False
5180,True
5215,False
5250,True
5285,False
5320,False
5355,False
5390,False
5425,False
5460,False
5495,False
5530,False
5565,False
5600,False
5635,False
5670,False
5705,False
5740,False
5775,False
5810,False
5845,False
5880,False
5915,False
5950,False
5985,False
6020,False
6055,False
6090,False
6125,False
6160,False
6195,False
6230,False
6265,False
6300,False
6335,False
6370,False
6405,False
6440,False
6475,True
6510,False
6545,False
6580,False
6615,False
6650,False
6685,False
6720,False
6755,False
6790,False
6825,False
6860,False
